// Initial random seed:
1501397958109

// RunInitializeCallbacks():
initializeMutationRate(1e-05);
initializeMutationType(1, 0.5, "f", 1);
39 24 35 20
32 23 36 25
40 23 41 21
32 26 35 27
33 20 43 29
33 22 35 25
37 27 37 21
41 20 41 24
40 16 41 22
34 20 39 24
35 19 30 27
36 20 36 26
37 25 41 27
34 18 35 25
32 23 40 27
33 21 34 17
32 19 37 27
34 25 37 22
31 19 43 22
31 25 38 28
33 24 41 27
39 19 40 26
36 20 39 30
35 22 33 30
34 21 39 28
35 16 32 20
31 23 40 32
37 21 34 25
37 22 38 18
37 21 39 25
32 27 40 29
34 25 29 18
35 30 38 25
37 19 45 20
34 19 40 22
33 27 35 27
36 19 39 28
38 16 32 28
36 24 37 25
35 19 41 23
36 17 38 25
37 23 39 29
25 21 36 18
38 25 34 29
32 23 38 23
36 23 34 23
38 25 42 29
37 22 40 19
34 22 31 25
39 23 40 20
35 24 36 27
36 18 37 28
41 20 39 22
36 24 36 25
38 23 30 22
37 25 36 27
37 22 42 23
37 23 39 23
37 21 39 29
39 22 33 21
39 16 33 26
26 16 24 15
38 26 32 23
32 19 39 26
38 21 40 27
28 27 33 22
31 22 34 27
31 26 38 22
36 24 36 27
30 22 40 25
31 20 34 26
40 23 42 20
39 27 39 31
40 26 36 22
33 18 37 15
32 19 41 24
39 18 33 26
35 25 38 23
34 18 39 28
36 21 35 28
39 24 35 24
30 23 38 19
39 23 37 19
32 19 31 30
42 23 30 26
34 18 37 26
40 20 45 21
42 19 36 17
33 21 35 24
39 27 35 23
33 17 36 28
37 21 39 26
39 21 42 22
38 25 36 29
34 24 38 25
37 24 38 25
36 21 40 21
34 21 39 26
38 23 37 24
30 24 36 19
35 24 32 18
36 19 40 23
34 20 40 24
33 27 38 18
35 21 39 25
35 26 39 26
34 21 36 27
32 20 37 26
39 22 34 29
28 25 38 27
38 20 36 25
37 15 33 29
39 20 36 25
35 24 35 25
40 21 37 24
37 22 34 28
25 21 37 24
40 28 39 23
33 25 41 22
36 22 37 27
38 24 35 22
43 23 41 22
41 21 36 22
36 27 32 22
42 23 37 30
33 23 37 27
31 24 34 27
31 27 40 22
30 21 40 17
36 22 39 24
38 25 47 26
35 20 40 29
35 22 38 19
38 21 39 26
31 21 39 24
32 24 40 32
32 19 39 19
34 18 33 23
34 20 34 19
31 18 39 24
37 25 39 25
38 23 40 20
38 19 31 31
36 18 36 24
35 21 38 18
35 18 38 27
36 27 41 24
36 21 33 24
40 20 38 24
35 19 37 23
34 24 34 23
35 24 40 20
36 21 36 26
34 18 34 18
36 23 38 15
35 22 38 23
38 25 37 17
31 21 35 22
39 19 37 28
37 27 35 24
37 23 35 26
35 25 37 25
37 20 41 24
33 20 37 21
25 25 33 33
40 21 35 27
31 19 37 24
39 22 27 21
34 18 41 23
37 22 38 23
35 20 40 26
35 20 32 23
33 20 34 28
33 18 36 24
40 21 33 22
32 21 43 23
37 22 34 26
38 19 35 24
32 19 32 25
36 24 33 29
36 21 35 25
39 23 42 28
37 22 33 26
37 25 33 24
42 21 36 26
28 19 37 30
33 21 36 24
39 25 40 18
41 21 36 25
33 21 36 21
31 21 38 22
35 18 35 21
35 19 35 23
42 26 36 24
34 22 36 20
35 21 38 23
37 20 37 22
35 20 31 21
36 20 38 31
39 19 37 24
36 23 37 25
43 25 37 27
35 29 38 24
35 21 36 23
40 26 31 24
38 25 39 24
31 20 37 19
33 21 40 21
33 20 37 27
33 26 37 21
35 20 37 20
38 24 40 25
31 24 34 20
39 16 37 24
33 19 36 29
35 21 41 19
35 28 35 19
38 24 32 21
32 21 32 26
32 24 42 26
39 20 38 24
36 27 37 22
35 23 38 23
39 17 42 26
32 23 40 16
32 24 37 27
37 22 35 24
39 26 37 22
38 21 37 31
36 22 35 22
38 18 39 23
39 20 37 29
37 17 36 26
33 26 37 23
32 26 35 31
32 17 40 23
34 21 28 21
39 22 32 23
29 22 35 22
36 23 36 24
38 21 32 22
41 31 42 29
36 22 36 22
32 20 36 22
33 22 32 25
37 23 35 30
40 19 37 27
34 20 33 23
40 23 39 31
37 20 38 25
31 19 30 28
34 20 38 23
29 24 36 24
36 23 38 20
31 28 38 24
33 24 35 29
31 22 42 19
40 22 36 20
36 25 39 23
30 19 42 24
33 21 35 22
34 21 34 25
37 22 35 23
36 26 43 24
36 19 31 22
38 20 40 26
33 26 34 27
36 19 37 20
37 17 39 20
37 18 41 22
34 18 38 32
39 24 30 24
33 19 36 28
37 24 38 28
34 24 34 32
40 24 40 24
34 19 37 25
28 16 32 17
36 24 35 23
37 24 39 18
37 20 31 22
